,catalog_number,right_ascension,declination,spectral_type_a,spectral_type_b,v_magnitude,ascension_proper_motion,declination_proper_motion,UVEC_ECI,ANG_DIST,UVEC_BODY,LAMBDA_STAR,IMAGE_CENTROID,IN_IMAGE
0,21.0,0.040048034128053224,1.0323574044178347,b'F',b'2',2.27,2.545271854614839e-06,-8.775127753324341e-07,[0.51238525 0.020531   0.85851024],0.13387781899457152,[0.12313554 0.05151781 0.99105174],2018.0581046861369,[248.49466827 103.96592582],True
0,130.0,0.14398966328953222,1.0983647871008981,b'B',b'1',4.16,1.4544410120720386e-08,-1.4544410120720386e-08,[0.45034366 0.06529672 0.89046444],0.10204308587503912,[ 0.09810218 -0.02743468  0.99479812],2010.4581610855141,[197.230329   -55.15627614],True
0,153.0,0.16131932832079257,0.9406791373200217,b'B',b'2',3.66,9.211459683911016e-08,-4.3633232138517997e-08,[0.5815889  0.09464396 0.80795846],0.11818380603618975,[0.02885465 0.11432372 0.99302442],2014.0491632709814,[ 58.1146931  230.25358742],True
0,168.0,0.1767509477905091,0.986760677709483,b'K',b'0',2.23,2.5695123895275174e-07,-1.551403840949206e-07,[0.5428045  0.09695295 0.83424421],0.07929587214792044,[0.03932923 0.06875958 0.99685773],2006.3043512686725,[ 78.90640222 137.95263538],True
0,219.0,0.21423916568230394,1.0090766514509548,b'F',b'9',3.44,5.332950422598515e-06,-2.5646643280197168e-06,[0.52046538 0.11324193 0.84634039],0.05022415616825735,[0.03030494 0.04002444 0.99873903],2002.5251197660318,[60.68640649 80.14995547],True
0,264.0,0.2474367824962795,1.059705744169224,b'B',b'0',2.47,1.2605156030076614e-07,-2.4240684126652923e-08,[0.47423155 0.11979723 0.87221159],0.03988952457008915,[ 0.03775707 -0.01283486  0.99920452],2001.592229784841,[ 75.57426774 -25.69016135],True
0,335.0,0.3032655019444482,0.8245274755997993,b'B',b'7',4.25,4.8481368253305845e-08,-4.3633232138517997e-08,[0.64792313 0.20274672 0.73422707],0.20578970072746675,[-0.10338611  0.17625622  0.97889992],2043.1097753832569,[-211.22916341  360.11080904],True
0,343.0,0.31024681895242556,0.9625442343380616,b'A',b'7',4.33,1.1102233656856697e-06,-1.0665900873618739e-07,[0.54415266 0.17445516 0.82064808],0.06794699077284376,[-0.03832902  0.05604087  0.99769249],2004.625691420168,[-76.8353325  112.34097374],True
0,403.0,0.3744458466049501,1.0513039230755958,b'A',b'5',2.68,1.4398966641238076e-06,-2.472549738286034e-07,[0.4620415  0.18157616 0.86807128],0.04255509182436057,[-0.02040007 -0.03733202  0.99909467],2001.8123033008308,[-40.83711194 -74.73170636],True
0,458.0,0.4223551345721945,0.7226632730618746,b'F',b'8',4.09,-8.29031421289983e-07,-1.8519882587497705e-06,[0.68413738 0.30745157 0.6613846 ],0.3168602283048647,[-0.22756204  0.21283914  0.9502184 ],2104.7792696137276,[-478.96787366  447.97940778],True
0,464.0,0.4275765779177443,0.8487245264239758,b'K',b'3',3.57,3.1512888654106064e-07,-5.478394768942962e-07,[0.60143855 0.27407021 0.750438  ],0.19604049367535953,[-0.16018462  0.11082844  0.98084553],2039.05706621699,[-326.6255817   225.98550544],True
0,496.0,0.45230207565433056,0.8846831571518701,b'B',b'2',4.07,1.2605156030076614e-07,-6.787391271245724e-08,[0.56982858 0.27687827 0.7737143 ],0.16931782675270957,[-0.15205474  0.07262895  0.98569995],2029.0150177320977,[-308.52135949  147.36523647],True
0,542.0,0.49914234945472835,1.1112511347447895,b'B',b'3',3.38,1.551403840949206e-07,-1.0181087617411322e-07,[0.38942567 0.21231074 0.89625432],0.124421912425028,[-0.03140203 -0.1200625   0.99226957],2015.5813013905342,[ -63.29334291 -241.99573397],True
0,580.0,0.5385867905498,1.2639916849783495,b'A',b'2',3.98,-2.1816615003444895e-07,1.0665900873618739e-07,[0.25925924 0.15491005 0.95330348],0.2518104646882328,[ 0.05790091 -0.24233667  0.96846292],2065.128114945689,[ 119.57280401 -500.4562675 ],True
0,834.0,0.744804713878147,0.9755614816758528,b'K',b'3',3.76,8.241832460953447e-08,-6.787391271245724e-08,[0.41224039 0.38006048 0.82801684],0.243185332877483,[-0.21250871 -0.11323647  0.97057589],2060.6322782848542,[-437.90229931 -233.33872925],True
0,1035.0,0.9122326945809197,1.0461552017822124,b'B',b'9',4.21,-1.4544410120720386e-08,-1.9392548011865074e-08,[0.30654302 0.39614974 0.86550376],0.3070242752423227,[-0.20209662 -0.22471303  0.95323712],2098.113840154944,[-424.0217159  -471.47351007],True
